Ana_Deger_Kodu,Ana_Deger_Adi,Ana_Deger_Aciklamasi,Alt_Deger_Kodu,Alt_Deger_Adi,Davranis_Gostergesi_Kodu,Davranis_Gostergesi_Aciklamasi,Ogretim_Yontemleri
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.1,Hak ve özgürlüklerini bilmek ve korumak,D1.1.1,Her insanın temel hak ve özgürlüklere sahip olduğunu kabul eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.1,Hak ve özgürlüklerini bilmek ve korumak,D1.1.2,Çocuk haklarını bilir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.1,Hak ve özgürlüklerini bilmek ve korumak,D1.1.3,Kendi haklarını uygun şekilde kullanır.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.1,Hak ve özgürlüklerini bilmek ve korumak,D1.1.4,Kendisinin ve başkalarının haklarını savunur.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.1,Hak ve özgürlüklerini bilmek ve korumak,D1.1.5,Toplumsal hayatta kadın ve erkeklerin eşit haklara sahip olduğunu bilir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.2,Hakkaniyetli davranmak,D1.2.1,Toplumsal karar alma süreçlerinde farklı görüşler olabileceğini kabul eder.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.2,Hakkaniyetli davranmak,D1.2.2,Haksızlıkların düzeltilmesi konusunda kararlı davranır.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.2,Hakkaniyetli davranmak,D1.2.3,Görev ve sorumluluklarını kuralına uygun olarak yerine getirir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.2,Hakkaniyetli davranmak,D1.2.4,Bireysel farklılıkların haklardan yararlanmaya engel olmaması gerektiğini bilir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
D1,ADALET,"Hak ve özgürlükleri, eşitliği, etik davranmayı, hakkaniyeti, ön yargısızlığı, ölçülülüğü ve liyakati kapsar.",D1.2,Hakkaniyetli davranmak,D1.2.5,Görev sorumluluk ve ödül paylaşımında adil davranması gerektiğini bilir.,"Davranış değiştirme, Gözlem yoluyla öğrenme, Değer belirginleştirme, Değer analizi yaklaşımı, Ahlaki muhakeme/ikilem, Eylem öğrenme, Karakter eğitimi, Tartışma, Soru cevap, Rol oynama, Drama, Örnek olay, Gezi gözlem, İş birlikli öğrenme, Yaparak yaşayarak öğrenme, Eğitsel oyun, Görsel film yorumlama, Proje tabanlı öğrenme"
