Ana_Egilim,Alt_Egilim
E1. Benlik Eğilimleri,E1.1. Merak
E1. Benlik Eğilimleri,E1.2. Bağımsızlık
E1. Benlik Eğilimleri,E1.3. Azim ve Kararlılık
E1. Benlik Eğilimleri,E1.4. Kendine İnanma (Öz Yeterlilik)
E1. Benlik Eğilimleri,E1.5. Kendine Güvenme (Öz Güven)
E2. Sosyal Eğilimler,E2.1. Empati
E2. Sosyal Eğilimler,E2.2. Sorumluluk
E2. Sosyal Eğilimler,E2.3. Girişkenlik
E2. Sosyal Eğilimler,E2.4. Güven
E2. Sosyal Eğilimler,E2.5. Oyunseverlik
E3. Entelektüel Eğilimler,E3.1. Odaklanma
E3. Entelektüel Eğilimler,E3.2. Yaratıcılık
E3. Entelektüel Eğilimler,E3.3. Açık Fikirlilik
E3. Entelektüel Eğilimler,E3.4. Analitik Düşünme
E3. Entelektüel Eğilimler,E3.5. Merak Ettiği Soruları Sorma
E3. Entelektüel Eğilimler,E3.6. Özgün Düşünme	
